paths                          , labels
data/Bedroom\bed_469.jpg       , Bedroom
data/Kitchen\kitchen_758.jpg   , Kitchen
data/Livingroom\living_204.jpg , Livingroom
data/Dinning\din_914.jpg       , Dinning
data/Bedroom\bed_282.jpg       , Bedroom
data/Bedroom\bed_1431.jpg      , Bedroom
data/Livingroom\living_646.jpg , Livingroom
data/Dinning\din_1539.jpg      , Dinning
data/Bedroom\bed_645.jpg       , Bedroom
data/Bedroom\bed_613.jpg       , Bedroom
data/Bedroom\bed_964.jpg       , Bedroom
data/Dinning\din_920.jpg       , Dinning
data/Kitchen\kitchen_1026.jpg  , Kitchen
data/Dinning\din_363.jpg       , Dinning
data/Dinning\din_1047.jpg      , Dinning
data/Kitchen\kitchen_34.jpg    , Kitchen
data/Dinning\din_1331.jpg      , Dinning
data/Bedroom\bed_590.jpg       , Bedroom
data/Dinning\din_1578.jpg      , Dinning
data/Dinning\din_1307.jpg      , Dinning
data/Livingroom\living_630.jpg , Livingroom
data/Livingroom\living_891.jpg , Livingroom
data/Bedroom\bed_423.jpg       , Bedroom
data/Livingroom\living_1044.jpg, Livingroom
data/Bedroom\bed_161.jpg       , Bedroom
data/Kitchen\kitchen_334.jpg   , Kitchen
data/Dinning\din_800.jpg       , Dinning
data/Bathroom\bath_954.jpg     , Bathroom
data/Livingroom\living_385.jpg , Livingroom
data/Kitchen\kitchen_879.jpg   , Kitchen
data/Bedroom\bed_750.jpg       , Bedroom
data/Kitchen\kitchen_578.jpg   , Kitchen
data/Kitchen\kitchen_1281.jpg  , Kitchen
data/Bedroom\bed_1032.jpg      , Bedroom
data/Livingroom\living_988.jpg , Livingroom
data/Kitchen\kitchen_229.jpg   , Kitchen
data/Livingroom\living_1030.jpg, Livingroom
data/Bedroom\bed_479.jpg       , Bedroom
data/Dinning\din_818.jpg       , Dinning
data/Bathroom\bath_982.jpg     , Bathroom
data/Livingroom\living_207.jpg , Livingroom
data/Kitchen\kitchen_352.jpg   , Kitchen
data/Livingroom\living_655.jpg , Livingroom
data/Bedroom\bed_1151.jpg      , Bedroom
data/Livingroom\living_539.jpg , Livingroom
data/Bathroom\bath_549.jpg     , Bathroom
data/Livingroom\living_916.jpg , Livingroom
data/Dinning\din_292.jpg       , Dinning
data/Livingroom\living_326.jpg , Livingroom
data/Bedroom\bed_239.jpg       , Bedroom
data/Livingroom\living_53.jpg  , Livingroom
data/Bedroom\bed_869.jpg       , Bedroom
data/Dinning\din_1459.jpg      , Dinning
data/Bedroom\bed_1236.jpg      , Bedroom
data/Dinning\din_427.jpg       , Dinning
data/Bathroom\bath_669.jpg     , Bathroom
data/Dinning\din_1103.jpg      , Dinning
data/Kitchen\kitchen_536.jpg   , Kitchen
data/Bedroom\bed_70.jpg        , Bedroom
data/Bedroom\bed_338.jpg       , Bedroom
data/Dinning\din_959.jpg       , Dinning
data/Bedroom\bed_561.jpg       , Bedroom
data/Bedroom\bed_162.jpg       , Bedroom
data/Bathroom\bath_1299.jpg    , Bathroom
data/Bathroom\bath_1155.jpg    , Bathroom
data/Livingroom\living_1153.jpg, Livingroom
data/Bathroom\bath_50.jpg      , Bathroom
data/Dinning\din_284.jpg       , Dinning
data/Livingroom\living_869.jpg , Livingroom
data/Livingroom\living_844.jpg , Livingroom
data/Bedroom\bed_557.jpg       , Bedroom
data/Livingroom\living_708.jpg , Livingroom
data/Dinning\din_1380.jpg      , Dinning
data/Dinning\din_1038.jpg      , Dinning
data/Dinning\din_1020.jpg      , Dinning
data/Dinning\din_1400.jpg      , Dinning
data/Livingroom\living_1095.jpg, Livingroom
data/Livingroom\living_414.jpg , Livingroom
data/Bathroom\bath_1194.jpg    , Bathroom
data/Bedroom\bed_89.jpg        , Bedroom
data/Bedroom\bed_864.jpg       , Bedroom
data/Bedroom\bed_834.jpg       , Bedroom
data/Bedroom\bed_398.jpg       , Bedroom
data/Kitchen\kitchen_963.jpg   , Kitchen
data/Dinning\din_1418.jpg      , Dinning
data/Kitchen\kitchen_146.jpg   , Kitchen
data/Kitchen\kitchen_325.jpg   , Kitchen
data/Bedroom\bed_250.jpg       , Bedroom
data/Livingroom\living_331.jpg , Livingroom
data/Bedroom\bed_810.jpg       , Bedroom
data/Livingroom\living_486.jpg , Livingroom
data/Bedroom\bed_348.jpg       , Bedroom
data/Bedroom\bed_576.jpg       , Bedroom
data/Bedroom\bed_241.jpg       , Bedroom
data/Bathroom\bath_15.jpg      , Bathroom
data/Bedroom\bed_158.jpg       , Bedroom
data/Livingroom\living_114.jpg , Livingroom
data/Dinning\din_1129.jpg      , Dinning
data/Bedroom\bed_681.jpg       , Bedroom
data/Bathroom\bath_657.jpg     , Bathroom
data/Dinning\din_880.jpg       , Dinning
data/Bedroom\bed_129.jpg       , Bedroom
data/Livingroom\living_454.jpg , Livingroom
data/Dinning\din_924.jpg       , Dinning
data/Livingroom\living_1427.jpg, Livingroom
data/Bedroom\bed_1167.jpg      , Bedroom
data/Bedroom\bed_1126.jpg      , Bedroom
data/Livingroom\living_177.jpg , Livingroom
data/Bedroom\bed_990.jpg       , Bedroom
data/Dinning\din_1484.jpg      , Dinning
data/Livingroom\living_1182.jpg, Livingroom
data/Bedroom\bed_150.jpg       , Bedroom
data/Kitchen\kitchen_1360.jpg  , Kitchen
data/Dinning\din_585.jpg       , Dinning
data/Livingroom\living_974.jpg , Livingroom
data/Kitchen\kitchen_63.jpg    , Kitchen
data/Bedroom\bed_795.jpg       , Bedroom
data/Bedroom\bed_1288.jpg      , Bedroom
data/Bathroom\bath_586.jpg     , Bathroom
data/Livingroom\living_562.jpg , Livingroom
data/Bathroom\bath_793.jpg     , Bathroom
data/Kitchen\kitchen_1282.jpg  , Kitchen
data/Bedroom\bed_548.jpg       , Bedroom
data/Dinning\din_1575.jpg      , Dinning
data/Bedroom\bed_1240.jpg      , Bedroom
data/Kitchen\kitchen_737.jpg   , Kitchen
data/Bedroom\bed_562.jpg       , Bedroom
data/Bedroom\bed_1218.jpg      , Bedroom
data/Bathroom\bath_900.jpg     , Bathroom
data/Bedroom\bed_1017.jpg      , Bedroom
data/Dinning\din_1134.jpg      , Dinning
data/Bedroom\bed_648.jpg       , Bedroom
data/Bedroom\bed_9.jpg         , Bedroom
data/Livingroom\living_417.jpg , Livingroom
data/Kitchen\kitchen_1352.jpg  , Kitchen
data/Livingroom\living_849.jpg , Livingroom
data/Livingroom\living_1162.jpg, Livingroom
data/Bedroom\bed_114.jpg       , Bedroom
data/Dinning\din_448.jpg       , Dinning
data/Kitchen\kitchen_689.jpg   , Kitchen
data/Livingroom\living_1311.jpg, Livingroom
data/Bathroom\bath_336.jpg     , Bathroom
data/Dinning\din_404.jpg       , Dinning
data/Kitchen\kitchen_190.jpg   , Kitchen
data/Dinning\din_1345.jpg      , Dinning
data/Dinning\din_1232.jpg      , Dinning
data/Livingroom\living_623.jpg , Livingroom
data/Dinning\din_836.jpg       , Dinning
data/Dinning\din_1377.jpg      , Dinning
data/Livingroom\living_110.jpg , Livingroom
data/Livingroom\living_834.jpg , Livingroom
data/Bedroom\bed_1309.jpg      , Bedroom
data/Dinning\din_1451.jpg      , Dinning
data/Kitchen\kitchen_1169.jpg  , Kitchen
data/Kitchen\kitchen_108.jpg   , Kitchen
data/Bathroom\bath_884.jpg     , Bathroom
data/Bathroom\bath_178.jpg     , Bathroom
data/Dinning\din_28.jpg        , Dinning
data/Kitchen\kitchen_50.jpg    , Kitchen
data/Bedroom\bed_492.jpg       , Bedroom
data/Kitchen\kitchen_1079.jpg  , Kitchen
data/Kitchen\kitchen_1119.jpg  , Kitchen
data/Livingroom\living_1098.jpg, Livingroom
data/Kitchen\kitchen_202.jpg   , Kitchen
data/Livingroom\living_1025.jpg, Livingroom
data/Kitchen\kitchen_729.jpg   , Kitchen
data/Bedroom\bed_1014.jpg      , Bedroom
data/Bedroom\bed_1322.jpg      , Bedroom
data/Bedroom\bed_778.jpg       , Bedroom
data/Bedroom\bed_669.jpg       , Bedroom
data/Kitchen\kitchen_733.jpg   , Kitchen
data/Dinning\din_151.jpg       , Dinning
data/Livingroom\living_453.jpg , Livingroom
data/Livingroom\living_986.jpg , Livingroom
data/Dinning\din_1288.jpg      , Dinning
data/Kitchen\kitchen_723.jpg   , Kitchen
data/Bedroom\bed_384.jpg       , Bedroom
data/Kitchen\kitchen_592.jpg   , Kitchen
data/Livingroom\living_1363.jpg, Livingroom
data/Livingroom\living_1138.jpg, Livingroom
data/Kitchen\kitchen_519.jpg   , Kitchen
data/Bathroom\bath_282.jpg     , Bathroom
data/Kitchen\kitchen_911.jpg   , Kitchen
data/Bedroom\bed_1044.jpg      , Bedroom
data/Livingroom\living_384.jpg , Livingroom
data/Kitchen\kitchen_1354.jpg  , Kitchen
data/Kitchen\kitchen_1213.jpg  , Kitchen
data/Livingroom\living_707.jpg , Livingroom
data/Bedroom\bed_1213.jpg      , Bedroom
data/Livingroom\living_994.jpg , Livingroom
data/Kitchen\kitchen_1357.jpg  , Kitchen
data/Dinning\din_146.jpg       , Dinning
data/Bathroom\bath_323.jpg     , Bathroom
data/Livingroom\living_142.jpg , Livingroom
data/Kitchen\kitchen_908.jpg   , Kitchen
data/Livingroom\living_499.jpg , Livingroom
data/Dinning\din_1313.jpg      , Dinning
data/Kitchen\kitchen_753.jpg   , Kitchen
data/Kitchen\kitchen_877.jpg   , Kitchen
data/Kitchen\kitchen_806.jpg   , Kitchen
data/Livingroom\living_1071.jpg, Livingroom
data/Bedroom\bed_226.jpg       , Bedroom
data/Bedroom\bed_294.jpg       , Bedroom
data/Bedroom\bed_22.jpg        , Bedroom
data/Kitchen\kitchen_586.jpg   , Kitchen
data/Bedroom\bed_372.jpg       , Bedroom
data/Bedroom\bed_874.jpg       , Bedroom
data/Livingroom\living_376.jpg , Livingroom
data/Livingroom\living_1303.jpg, Livingroom
data/Dinning\din_705.jpg       , Dinning
data/Livingroom\living_1114.jpg, Livingroom
data/Kitchen\kitchen_614.jpg   , Kitchen
data/Bedroom\bed_180.jpg       , Bedroom
data/Livingroom\living_1380.jpg, Livingroom
data/Kitchen\kitchen_550.jpg   , Kitchen
data/Bathroom\bath_1164.jpg    , Bathroom
data/Bedroom\bed_758.jpg       , Bedroom
data/Livingroom\living_122.jpg , Livingroom
data/Dinning\din_81.jpg        , Dinning
data/Kitchen\kitchen_976.jpg   , Kitchen
data/Kitchen\kitchen_459.jpg   , Kitchen
data/Livingroom\living_613.jpg , Livingroom
data/Kitchen\kitchen_249.jpg   , Kitchen
data/Dinning\din_258.jpg       , Dinning
data/Livingroom\living_1218.jpg, Livingroom
data/Bedroom\bed_558.jpg       , Bedroom
data/Bedroom\bed_326.jpg       , Bedroom
data/Bathroom\bath_1267.jpg    , Bathroom
data/Dinning\din_1349.jpg      , Dinning
data/Bathroom\bath_456.jpg     , Bathroom
data/Bathroom\bath_874.jpg     , Bathroom
data/Bathroom\bath_961.jpg     , Bathroom
data/Dinning\din_684.jpg       , Dinning
data/Livingroom\living_506.jpg , Livingroom
data/Kitchen\kitchen_543.jpg   , Kitchen
data/Dinning\din_889.jpg       , Dinning
data/Livingroom\living_3.jpg   , Livingroom
data/Dinning\din_1586.jpg      , Dinning
data/Bedroom\bed_1109.jpg      , Bedroom
data/Bedroom\bed_687.jpg       , Bedroom
data/Dinning\din_874.jpg       , Dinning
data/Livingroom\living_670.jpg , Livingroom
data/Bedroom\bed_837.jpg       , Bedroom
data/Dinning\din_949.jpg       , Dinning
data/Livingroom\living_234.jpg , Livingroom
data/Livingroom\living_103.jpg , Livingroom
data/Livingroom\living_1100.jpg, Livingroom
data/Dinning\din_302.jpg       , Dinning
data/Bedroom\bed_118.jpg       , Bedroom
data/Dinning\din_349.jpg       , Dinning
data/Bedroom\bed_741.jpg       , Bedroom
data/Livingroom\living_1110.jpg, Livingroom
data/Livingroom\living_200.jpg , Livingroom
data/Dinning\din_136.jpg       , Dinning
data/Bedroom\bed_1211.jpg      , Bedroom
data/Bathroom\bath_1187.jpg    , Bathroom
data/Livingroom\living_995.jpg , Livingroom
data/Bedroom\bed_300.jpg       , Bedroom
data/Dinning\din_480.jpg       , Dinning
data/Dinning\din_1583.jpg      , Dinning
data/Bedroom\bed_759.jpg       , Bedroom
data/Kitchen\kitchen_292.jpg   , Kitchen
data/Bedroom\bed_1303.jpg      , Bedroom
data/Bedroom\bed_41.jpg        , Bedroom
data/Livingroom\living_954.jpg , Livingroom
data/Kitchen\kitchen_264.jpg   , Kitchen
data/Livingroom\living_1005.jpg, Livingroom
data/Livingroom\living_430.jpg , Livingroom
data/Bedroom\bed_816.jpg       , Bedroom
data/Livingroom\living_137.jpg , Livingroom
data/Bathroom\bath_1198.jpg    , Bathroom
data/Bedroom\bed_1239.jpg      , Bedroom
data/Livingroom\living_559.jpg , Livingroom
data/Bedroom\bed_343.jpg       , Bedroom
data/Dinning\din_19.jpg        , Dinning
data/Livingroom\living_16.jpg  , Livingroom
data/Livingroom\living_857.jpg , Livingroom
data/Livingroom\living_262.jpg , Livingroom
data/Kitchen\kitchen_1132.jpg  , Kitchen
data/Bedroom\bed_984.jpg       , Bedroom
data/Livingroom\living_372.jpg , Livingroom
data/Dinning\din_350.jpg       , Dinning
data/Kitchen\kitchen_1349.jpg  , Kitchen
data/Dinning\din_227.jpg       , Dinning
data/Kitchen\kitchen_260.jpg   , Kitchen
data/Dinning\din_672.jpg       , Dinning
data/Bathroom\bath_620.jpg     , Bathroom
data/Bedroom\bed_870.jpg       , Bedroom
data/Dinning\din_905.jpg       , Dinning
data/Kitchen\kitchen_1292.jpg  , Kitchen
data/Bathroom\bath_787.jpg     , Bathroom
data/Dinning\din_755.jpg       , Dinning
data/Bedroom\bed_474.jpg       , Bedroom
data/Kitchen\kitchen_1053.jpg  , Kitchen
data/Kitchen\kitchen_658.jpg   , Kitchen
data/Bedroom\bed_1208.jpg      , Bedroom
data/Dinning\din_709.jpg       , Dinning
data/Livingroom\living_1197.jpg, Livingroom
data/Bedroom\bed_1250.jpg      , Bedroom
data/Bedroom\bed_218.jpg       , Bedroom
data/Bedroom\bed_1191.jpg      , Bedroom
data/Kitchen\kitchen_1199.jpg  , Kitchen
data/Bathroom\bath_410.jpg     , Bathroom
data/Livingroom\living_8.jpg   , Livingroom
data/Dinning\din_1482.jpg      , Dinning
data/Bathroom\bath_971.jpg     , Bathroom
data/Dinning\din_433.jpg       , Dinning
data/Livingroom\living_1048.jpg, Livingroom
data/Bathroom\bath_439.jpg     , Bathroom
data/Bathroom\bath_284.jpg     , Bathroom
data/Dinning\din_273.jpg       , Dinning
data/Dinning\din_810.jpg       , Dinning
data/Bedroom\bed_1117.jpg      , Bedroom
data/Bathroom\bath_861.jpg     , Bathroom
data/Bedroom\bed_675.jpg       , Bedroom
data/Kitchen\kitchen_114.jpg   , Kitchen
data/Bedroom\bed_1354.jpg      , Bedroom
data/Bedroom\bed_435.jpg       , Bedroom
data/Dinning\din_587.jpg       , Dinning
data/Bedroom\bed_696.jpg       , Bedroom
data/Livingroom\living_1200.jpg, Livingroom
data/Kitchen\kitchen_507.jpg   , Kitchen
data/Livingroom\living_421.jpg , Livingroom
data/Dinning\din_1531.jpg      , Dinning
data/Livingroom\living_1024.jpg, Livingroom
data/Kitchen\kitchen_954.jpg   , Kitchen
data/Dinning\din_568.jpg       , Dinning
data/Bathroom\bath_672.jpg     , Bathroom
data/Kitchen\kitchen_847.jpg   , Kitchen
data/Dinning\din_104.jpg       , Dinning
data/Livingroom\living_1055.jpg, Livingroom
data/Bedroom\bed_252.jpg       , Bedroom
data/Dinning\din_128.jpg       , Dinning
data/Dinning\din_377.jpg       , Dinning
data/Livingroom\living_330.jpg , Livingroom
data/Kitchen\kitchen_516.jpg   , Kitchen
data/Bedroom\bed_884.jpg       , Bedroom
data/Bathroom\bath_701.jpg     , Bathroom
data/Dinning\din_538.jpg       , Dinning
data/Livingroom\living_1115.jpg, Livingroom
data/Kitchen\kitchen_717.jpg   , Kitchen
data/Livingroom\living_420.jpg , Livingroom
data/Bathroom\bath_1272.jpg    , Bathroom
data/Bathroom\bath_700.jpg     , Bathroom
data/Bathroom\bath_1014.jpg    , Bathroom
data/Bathroom\bath_1172.jpg    , Bathroom
data/Kitchen\kitchen_488.jpg   , Kitchen
data/Livingroom\living_509.jpg , Livingroom
data/Kitchen\kitchen_263.jpg   , Kitchen
data/Livingroom\living_758.jpg , Livingroom
data/Bedroom\bed_422.jpg       , Bedroom
data/Bedroom\bed_1129.jpg      , Bedroom
data/Dinning\din_984.jpg       , Dinning
data/Bedroom\bed_156.jpg       , Bedroom
data/Bedroom\bed_628.jpg       , Bedroom
data/Bedroom\bed_872.jpg       , Bedroom
data/Bedroom\bed_1102.jpg      , Bedroom
data/Livingroom\living_210.jpg , Livingroom
data/Dinning\din_1125.jpg      , Dinning
data/Bedroom\bed_90.jpg        , Bedroom
data/Kitchen\kitchen_129.jpg   , Kitchen
data/Kitchen\kitchen_64.jpg    , Kitchen
data/Bathroom\bath_689.jpg     , Bathroom
data/Bedroom\bed_1420.jpg      , Bedroom
data/Dinning\din_1434.jpg      , Dinning
data/Bedroom\bed_1199.jpg      , Bedroom
data/Kitchen\kitchen_487.jpg   , Kitchen
data/Livingroom\living_589.jpg , Livingroom
data/Livingroom\living_516.jpg , Livingroom
data/Livingroom\living_58.jpg  , Livingroom
data/Dinning\din_1016.jpg      , Dinning
data/Bedroom\bed_1375.jpg      , Bedroom
data/Livingroom\living_345.jpg , Livingroom
data/Dinning\din_578.jpg       , Dinning
data/Livingroom\living_18.jpg  , Livingroom
data/Kitchen\kitchen_982.jpg   , Kitchen
data/Livingroom\living_68.jpg  , Livingroom
data/Kitchen\kitchen_625.jpg   , Kitchen
data/Bathroom\bath_395.jpg     , Bathroom
data/Livingroom\living_71.jpg  , Livingroom
data/Kitchen\kitchen_862.jpg   , Kitchen
data/Bedroom\bed_167.jpg       , Bedroom
data/Kitchen\kitchen_1050.jpg  , Kitchen
data/Bathroom\bath_911.jpg     , Bathroom
data/Dinning\din_655.jpg       , Dinning
data/Dinning\din_970.jpg       , Dinning
data/Kitchen\kitchen_827.jpg   , Kitchen
data/Bedroom\bed_953.jpg       , Bedroom
data/Kitchen\kitchen_1170.jpg  , Kitchen
data/Bedroom\bed_541.jpg       , Bedroom
data/Dinning\din_1017.jpg      , Dinning
data/Livingroom\living_1381.jpg, Livingroom
data/Bedroom\bed_1406.jpg      , Bedroom
data/Livingroom\living_817.jpg , Livingroom
data/Dinning\din_1135.jpg      , Dinning
data/Bedroom\bed_1080.jpg      , Bedroom
data/Livingroom\living_867.jpg , Livingroom
data/Dinning\din_1160.jpg      , Dinning
data/Livingroom\living_1367.jpg, Livingroom
data/Bedroom\bed_1163.jpg      , Bedroom
data/Kitchen\kitchen_1023.jpg  , Kitchen
data/Dinning\din_1127.jpg      , Dinning
data/Bedroom\bed_807.jpg       , Bedroom
data/Livingroom\living_859.jpg , Livingroom
data/Bedroom\bed_882.jpg       , Bedroom
data/Kitchen\kitchen_799.jpg   , Kitchen
data/Livingroom\living_362.jpg , Livingroom
data/Kitchen\kitchen_624.jpg   , Kitchen
data/Bedroom\bed_866.jpg       , Bedroom
data/Bedroom\bed_1216.jpg      , Bedroom
data/Dinning\din_712.jpg       , Dinning
data/Dinning\din_184.jpg       , Dinning
data/Bathroom\bath_664.jpg     , Bathroom
data/Bedroom\bed_353.jpg       , Bedroom
